3-15'-BIS-ISOCUPARANE 3-15-bis-isocuparane.mol
3-BIS-CADINANE 3-bis-cadinane.mol
4,12-CYCLO-TRICHOTHECANE 412-cyclo-trichothecane.mol
4,5-SECO-CADINANE 45-seco-cadinane.mol
4,5-SECO-CARYOPHYLLANE 45-seco-caryophyllane.mol
4,5-SECO-EUDESMANE 45-seco-eudesmane.mol
4,5-SECO-FURANOEREMOPHILANE 45-seco-furanoeremophilane.mol
4-14-CARYOPHYLLANE 414-caryophyllane.mol
5(->4)-LACTARANE 5-4-lactarane.mol
5(4->10)-ABEOAROMADENDRANE 5410-abeoaromadendrane.mol
5-10-4,5-SECO-GUAIANE 5-10-45-seco-guaiane.mol
5-14-CARYOPHYLLANE 514-caryophyllane.mol
6,10-SECO-CAROTANE 610-seco-carotane.mol
6-8',15-9'-BIS-LINDENANE 68-159-bis-lindenane.mol
6-8-GUAIANE 68-guaiane.mol
7,11-SECO-ISHWARANE 711-seco-ishwarane.mol
8,11-SECO-ISHWARANE 811-seco-ishwarane.mol
8,9-SECO-AFRICANE 89-seco-africane.mol
8,9-SECO-LACTARANE 89-seco-lactarane.mol
9,10-SECO-AFRICANE 910-seco-africane.mol
9,10-SECO-DRIMANE 910-seco-drimane.mol
A-SANTALANE a-santalane.mol
ACORANE acorane.mol
AFRICANE africane.mol
ALLIACANE alliacane.mol
AMBIGUANE ambiguane.mol
ARISTOLANE aristolane.mol
AROMADENDRANE aromadendrane.mol
ASTERISCANE asteriscane.mol
B-SANTALANE b-santalane.mol
BERGAMOTANE bergamotane.mol
BICYCLOGERMACRANE bicyclogermacrane.mol
BICYCLOHUMULANE bicyclohumulane.mol
BISABOLANE bisabolane.mol
BOTRYANE botryane.mol
BOURBONANE bourbonane.mol
BRASILANE brasilane.mol
BULATANE bulatane.mol
CADINANE cadinane.mol
CAPNELLANE capnellane.mol
CAROTANE carotane.mol
CARYOPHYLLANE caryophyllane.mol
CEDRANE cedrane.mol
CHAMIGRANE chamigrane.mol
CHILOSCYPHANE chiloscyphane.mol
CLOVANE clovane.mol
COPAANE copaane.mol
CUBEBANE cubebane.mol
CUPARANE cuparane.mol
CYCLOMYLTAYLANE cyclomyltaylane.mol
CYPERANE cyperane.mol
DRIMANE drimane.mol
ELEMANE elemane.mol
EPICUBEBOL epicubebol.mol
EREMOPHILANE eremophilane.mol
EUDESMANE eudesmane.mol
FARNESANE farnesane.mol
FOMANNOSIN fomannosin.mol
FURANOEREMOPHILANE furanoeremophilane.mol
FURODYSANE furodysane.mol
GERMACRANE germacrane.mol
GORGONANE gorgonane.mol
GUAIANE guaiane.mol
GYMNOMITRANE gymnomitrane.mol
HIMACHALANE himachalane.mol
HIRSUTANE hirsutane.mol
HUMULANE humulane.mol
HYDRINDANE hydrindane.mol
ILLUDALANE illudalane.mol
ILLUDANE illudane.mol
IPHIONANE iphionane.mol
ISHWARANE ishwarane.mol
ISOCAPNELLANE isocapnellane.mol
ISOCAROTANE isocarotane.mol
ISOCEDRANE isocedrane.mol
ISOCHAMIGRANE isochamigrane.mol
ISOCOMANE isocomane.mol
ISOCUPARANE isocuparane.mol
ISOIPHIONANE isoiphionane.mol
ISOLACTARANE isolactarane.mol
KHUSANE khusane.mol
LACTARANE lactarane.mol
LAURANE laurane.mol
LEPIDOZANE lepidozane.mol
LINDENANE lindenane.mol
LIPPIFOLIANE lippifoliane.mol
LONGIBORNANE longibornane.mol
LONGICYCLANE longicyclane.mol
LONGIPINANE longipinane.mol
MAALIANE maaliane.mol
MARASMANE marasmane.mol
MODHEPHANE modhephane.mol
MONOCYCLOFARNESANE monocyclofarnesane.mol
MYLTAYLANE myltaylane.mol
NARDOSINANE nardosinane.mol
NEOLEMNANE neolemnane.mol
OMPHALANE omphalane.mol
OPLOPANANE oplopanane.mol
OXEPINE oxepine.mol
PACIFIGORGIANE pacifigorgiane.mol
PHYTUBERIN phytuberin.mol
PINGUISANE pinguisane.mol
PRE-SEYCHELLANE pre-seychellane.mol
PRESILPHIPERFOLANE presilphiperfolane.mol
PREZIZANE prezizane.mol
PROBOTRYANE probotryane.mol
PROTOILLUDANE protoilludane.mol
PSEUDOGUAIANE pseudoguaiane.mol
PTEROSIN pterosin.mol
PUNCTATANE punctatane.mol
ROTUNDANE rotundane.mol
SESQUICARANE sesquicarane.mol
SEYCHELLANE seychellane.mol
SILPHINANE silphinane.mol
SILPHIPERFOLANE silphiperfolane.mol
SOLANASCANE solanascane.mol
SPINIFERIN-1 spiniferin-1.mol
SPINIFERIN-2 spiniferin-2.mol
STERPURANE sterpurane.mol
THAPSANE thapsane.mol
THUJOPSANE thujopsane.mol
TREMULANE tremulane.mol
TRICHOTHECANE trichothecane.mol
TRIFARANE trifarane.mol
VALERENANE valerenane.mol
VETISPIRANE vetispirane.mol
